J0008.5+6853 2.1409 68.8870 0.3041 0.2798 -78.540 8.449 820.26 4.2643E-12 1.0454E-09 8.7879E-12 6.49 2.4229 5.733095E-09 1.672055E-12 1.725 4.179189E-09 2.985364E-12 4.935 9.301250E-10 1.902485E-12 5.133 2.844921E-11 1.485195E-13 0.787 1.065764E-15 9.874575E-18 0.000 3.503426E+01 NULL
J0008.6-2340 2.1743 -23.6721 0.0458 0.0405 -61.160 6.656 7424.89 5.9214E-15 2.2845E-10 3.4683E-12 0.85 1.5989 4.000964E-14 1.000560E-17 0.000 4.270617E-14 3.075659E-17 0.000 1.986865E-10 4.968748E-13 3.464 2.974439E-11 2.142163E-13 2.153 7.216146E-11 1.521199E-12 6.796 4.734901E+01 bll
J0008.7+6558 2.1913 65.9677 0.0733 0.0600 27.720 8.738 553.43 1.4526E-11 7.1915E-10 1.3213E-11 6.36 2.5078 1.680909E-08 4.821582E-12 4.014 7.352281E-09 4.771893E-12 5.819 5.186110E-10 9.948753E-13 2.447 1.202185E-10 6.276027E-13 2.906 1.261040E-11 1.168387E-13 1.733 4.276700E+01 NULL
J0009.1+0630 2.2952 6.5052 0.0418 0.0333 -46.280 8.971 1548.97 2.5053E-13 5.4902E-10 6.2342E-12 0.37 2.1794 4.969531E-09 1.173347E-12 1.690 1.598220E-09 1.074458E-12 3.566 4.004099E-10 9.454009E-13 4.948 1.189717E-10 7.998275E-13 5.578 3.786819E-11 6.276088E-13 4.440 6.135748E+01 bll
J0009.3+5030 2.3337 50.5104 0.0124 0.0118 18.240 36.493 1656.96 1.0999E-12 3.0936E-09 3.5350E-11 2.14 1.9286 1.920370E-08 4.647263E-12 7.592 5.875532E-09 4.068118E-12 12.776 2.112253E-09 5.111618E-12 19.773 8.984099E-10 6.220436E-12 22.766 2.510771E-10 4.601836E-12 14.901 9.943694E+01 bll
J0009.6-3211 2.4016 -32.1987 0.0897 0.0841 19.490 5.536 1069.81 3.1060E-13 2.7657E-10 3.3801E-12 1.03 2.3097 4.081132E-09 9.514944E-13 1.908 1.030696E-09 6.825641E-13 3.149 2.389627E-10 5.571291E-13 3.833 4.163177E-11 2.757006E-13 2.719 9.231069E-12 1.456089E-13 1.839 4.253356E+01 bcu
J0010.5-1425 2.6289 -14.4195 0.1329 0.0923 88.530 4.297 1005.86 3.2243E-13 2.4926E-10 3.0432E-12 2.85 2.3084 7.541603E-13 1.758518E-16 0.000 1.466912E-09 9.715957E-13 3.914 2.751521E-10 6.415877E-13 4.381 3.630587E-11 2.404686E-13 2.032 1.055446E-15 1.665689E-17 0.000 5.652204E+01 NULL
J0012.4+7040 3.1100 70.6721 0.0732 0.0569 -57.630 4.550 1066.84 5.5069E-13 4.3555E-10 6.2934E-12 0.21 2.4837 1.122313E-08 2.573491E-12 2.150 2.846753E-09 1.848342E-12 3.556 1.986436E-10 4.554946E-13 1.412 5.463572E-11 3.547391E-13 1.918 2.115062E-11 3.134391E-13 2.801 5.157589E+01 bcu
J0013.2-3954 3.3038 -39.9083 0.0357 0.0315 31.300 12.025 1139.51 5.5273E-13 6.0676E-10 6.9846E-12 0.15 2.2118 6.745084E-09 1.587554E-12 3.183 1.877034E-09 1.257160E-12 5.643 4.305321E-10 1.013321E-12 6.764 1.122911E-10 7.520797E-13 5.784 5.396612E-11 8.832963E-13 5.822 5.522807E+01 bll
J0013.9-1853 3.4761 -18.8966 0.0382 0.0363 55.710 5.585 2844.40 2.9754E-14 2.3734E-10 2.7048E-12 1.63 1.9352 4.829535E-14 1.167986E-17 0.000 1.091443E-10 7.551128E-14 0.335 2.226892E-10 5.385566E-13 3.780 9.082084E-11 6.283425E-13 5.472 8.065614E-12 1.474320E-13 2.528 3.645881E+01 bll
